id,name,year,chart_rank,de_rank,type,sex,,
ChristopherAnthonyJohnMartin,Christopher Anthony John Martin,,,,2,m,,
GuyBerryman,Guy Berryman,,,,2,m,,
WilliamChampion,William Champion,,,,2,m,,
BrianEno,Brian Eno,,,,2,m,,
MTJ,MTJ,,,,2,m,,
Jaydon,Jaydon,,,,2,m,,
Label_VenturaRecords,Ventura Records,,,,3,,,
We_made_it_22,We made it,2022,29,10,1,,,
Sizzy,Sizzy,,,,2,m,,
Label_Spinnup,Spinnup (Universal),,,,3,,,
Astronaut_15,Astronaut,2015,6,1,1,,,
AndreasBourani,Andreas Bourani,,,,2,m,,
MarekPompetzki,Marek Pompetzki,,,,2,m,,
CecilRemmler,Cecil Remmler,,,,2,m,,
TomCoyne,Tom Coyne,,,,2,m,,
PaulNZA,Paul NZA,,,,2,m,,
PaulNeumann,Paul Neumann,,,,2,m,,
Wolke_4_15,Wolke 4,2015,11,2,1,,,
PhilippDitt,Philipp Dittberner,,,,2,m,,
Marv,Marv,,,,2,m,,
Label_Grönland,Grönland Records,,,,3,,,
Lieblingsmensch_15,Lieblingsmensch,2015,12,3,1,,,
FabianRömer,Fabian Römer,,,,2,m,,
KonradSommer,Konrad Sommermeyer,,,,2,m,,
DavidMuller,David Muller,,,,2,m,,
NilsFaller,Nils Faller,,,,2,m,,
Wie_schön_du_bist_15,Wie schön du bist,2015,13,4,1,,,
SarahConnor,Sarah Connor,,,,2,f,,
StefanBehrisch,Stefan Behrisch,,,,2,m,,
SimonBeisaß,Simon Beisaß,,,,2,m,,
TomRußbüldt,Tom Rußbüldt,,,,2,m,,
WolfgangSchiefermair,Wolfgang Schiefermair,,,,2,m,,
Unter_meiner_Haut_15,Unter meiner Haut,2015,17,5,1,,,
KobyFunk,Koby Funk,,,,2,m,,
WincentWeiss,Wincent Weiss,,,,2,m,,
ElifDemirezer,Elif Demirezer,,,,2,f,,
TomOlbrich,Tom Oblrich,,,,2,m,,
PhilippSchardt,Philipp Schardt,,,,2,m,,
Bye_Bye_15,Bye Bye,2015,23,6,1,,,
TomKrüger,Tom Krüger,,,,2,m,,
Label_BMG,BMG Rights Management GmbH,,,,3,,,
Geiles_Leben_15,Geiles Leben,2015,24,7,1,,,
BenjaminBistram,Benjamin Bistram Biztram,,,,2,m,,
PhilippAlbinger,Philipp Albinger,,,,2,m,,
PhilippKlemm,Philipp Klemm,,,,2,m,,
ChristianRaab,Christian Raab,,,,2,m,,
PeterStanowsky,Peter Stanowksy,,,,2,m,,
CarolinNiemczyk,Carolin Niemczyk (Glasperlenspiel),,,,2,f,,
KilianWilke,Kilian Wilke,,,,2,m,,
JohannesBurger,Johannes Burger,,,,2,m,,
HansPhillipGraf,Hans-Philipp Graf,,,,2,m,,
Label_Brunswick,Brunswick,,,,3,,,
Herz_über_Kopf_15,Herz über Kopf,2015,26,8,1,,,
Joris,Joris,,,,2,m,,
NikoStegmiller,Niko Stegmiller,,,,2,m,,
MaximilianHesselbarth,Maximilian Hesselbarth,,,,2,m,,
MicSchroeder,Mic Schroeder,,,,2,m,,
IngoPolitz,Ingo Politz,,,,2,m,,
RobinSchmidt,Robin Schmidt,,,,2,m,,
So_wie_du_bist_15,So wie du bist,2015,27,9,1,,,
MoTrip,MoTrip,,,,2,m,,
Lary,Lary,,,,2,m,,
Flash_mich_15,Flash mich,2015,36,10,1,,,
DavidJürgens,David Jürgens,,,,2,m,,
PhilippSteinke,Philipp Steinke,,,,2,m,,
HelgiJonsson,Helgi Jonsson,,,,2,m,,
BergurThorisson,Bergur Thorisson,,,,2,m,,
MichaelMuller,Michael Muller,,,,2,m,,
Roller_20,Roller,2020,3,1,1,,,
Emotions_20,Emotions,2020,6,2,1,,,
Sonus030,Sonus030,,,,2,m,,
UfukBayraktar,Ufuk Bayraktar,,,,2,m,,
Label_StayHigh,Stay High,,,,3,,,
Fame_20,Fame,2020,10,3,1,,,
Airwaves_20,Airwaves,2020,12,4,1,,,
YunusCimen,Yunus Cimen,,,,2,m,,
Bläulich_20,Bläulich,2020,13,5,1,,,
MarcelUhde,Marcel Uhde,,,,2,m,,
MelvinSchmitz,Melvin Schmitz,,,,2,m,,
Übermorgen_20,Übermorgen,2020,15,6,1,,,
KonstantinScherer,Konstantin Scherer Djorkaeff,,,,2,m,,
JanBednorz,Jan Bednorz Phil The Beat,,,,2,m,,
200_kmh_20,200 km/h,2020,20,7,1,,,
AndreasJanetschko,Andreas Janetschko,,,,2,m,,
In_meinem_Benz_20,In meinem Benz,2020,21,8,1,,,
AKAusserKonrolle,AK Ausser Kontrolle,,,,2,m,,
YoungMoji,Young Moji,,,,2,m,,
Thisisyt,Thisisyt,,,,2,m,,
Label_XYRecords,XY Records,,,,3,,,
Kein_Wort_20,Kein Wort,2020,24,9,1,,,
Shukati,Shukati,,,,2,m,,
Loredana,Loredana,,,,2,f,,
Krutsch,Krutsch,,,,2,m,,
Label_JinxMusic,Jinx Music,,,,3,,,
Unterwegs_20,Unterwegs,2020,25,10,1,,,
Fizzle,Fizzle (KitschKrieg),,,,2,m,,
FijiKris,Fiji Kris (KitschKrieg),,,,2,m,,
awhodat,awhodat (KitschKrieg),,,,2,f,,
ThomasCallaway,Thomas Callaway,,,,2,m,,
JeromeBugnon,Jerome Bugnon,,,,2,m,,
FrankDelle,Frank Dellé,,,,2,m,,
Label_SoulForceRecords,Soul Force Records,,,,3,,,
Roller_19,Roller,2019,3,1,1,,,
Vermissen_19,Vermissen,2019,4,2,1,,,
HenningMay,Henning May,,,,2,m,,
Tilidin_19,Tilidin,2019,9,3,1,,,
Samra,Samra,,,,2,m,,
Greckoe,Greckoe,,,,2,m,,
Wieder_Lila_19,Wieder Lila,2019,10,4,1,,,
110_19,110,2019,14,5,1,,,
WimTreuner,Wim Treuner,,,,2,m,,
RobinHaefs,Robin Haefs,,,,2,m,,
Vincent_19,Vincent,2019,15,6,1,,,
Label_UniversalDomesticPolydor,Universal Domestic Polydor,,,,3,,,
500_PS_19,500 PS,2019,17,7,1,,,
Deutschland_19,Deutschland,2019,20,8,1,,,
ChristophSchneider,Christoph Schneider,,,,2,m,,
TillLindemann,Till Lindemann (Rammstein),,,,2,m,,
PaulLanders,Paul Landers (Rammstein),,,,2,m,,
OliverRiedel,Oliver Riedel (Rammstein),,,,2,m,,
ChristianLorenz,Christian Lorenz (Rammstein),,,,2,m,,
RichardKruspe,Richard Kruspe (Rammstein),,,,2,m,,
OlsenInvoltini,Olsen Involtini,,,,2,m,,
Label_Rammstein,Rammstein,,,,3,,,
Cherry_Lady_19,Cherry Lady,2019,21,9,1,,,
DieterBohlen,Dieter Bohlen,,,,2,m,,
200_kmh_19,200 kmh,2019,22,10,1,,,
Die_Immer_Lacht_16,Die immer lacht,2016,2,1,1,,,
KerstinOtt,Kerstin Ott,,,,2,f,,
RicoEinenkel,Rico Einenkel (Stereoact),,,,2,m,,
SebastianSeidel,Sebastian Seidel (Stereoact),,,,2,m,,
Wir_sind_groß_16,Wir sind Groß,2016,21,2,1,,,
NicoWellenbrink,Nico Wellenbrink,,,,2,m,,
Hulapalu_16,Hulapalu,2016,25,3,1,,,
80_Millionen_16,80 Millionen ,2016,31,4,1,,,
AndreasGabalier,Andreas Gabalier,,,,2,m,,
MathiasRoska,Mathias Roska,,,,2,m,,
MaxGiesinger,Max Giesinger,,,,2,m,,
KlausBartelmuss,Klaus Bartelmuss,,,,2,m,,
DavidHefti,David Hefti,,,,2,m,,
AlexanderZuckowski,Alexander Zuckowski,,,,2,m,,
MartinFliegenschmidt,Martin Fliegenschmidt,,,,2,m,,
Label_Electrola,Electrola,,,,3,,,
JensSchneider,Jens Schneider,,,,2,m,,
Ahnma_16,Ahnma,2016,38,5,1,,,
Denyo,Denyo (Beginner),,,,2,m,,
SaschaBühren,Sascha Bühren,,,,2,m,,
Tropf,Tropf,,,,2,m,,
Gentleman,Gentleman,,,,2,m,,
Gzuz,Gzuz,,,,2,m,,
KikoMasbaum,Kiko Masbaum,,,,2,m,,
DennisKopacz,Dennis Kopacz,,,,2,m,,
JanDelay,Jan Delay (Beginner),,,,2,m,,
DJMad,DJ Mad (Beginner),,,,2,m,,
